Name,MOLECULAR_FORMULA,Exact_mass,RT1,RT2,CAS,Synonyms,DTXSID,IUPACname,DTXCID,CASRN,PREFERRED_NAME,SMILES,MONOISOTOPIC_MASS_mass
(3-Chloro-2-hydroxypropyl)trimethylammonium chloride solution,C6H15ClNO,152.0842168,1.365,,3327-22-8,STD,DTXSID3027534,(3-Chloro-2-hydroxypropyl)trimethylammonium chloride,DTXCID207534,3327-22-8,CSPHGSFZFWKVDL-UHFFFAOYNA-M,[Cl-].C[N+](C)(C)CC(O)CCl,187.0530695
Cetylpyridinium chloride,C21H38N,304.3004252,14.598,18.123,6004-24-6,STD,DTXSID20975463,1-Hexadecylpyridin-1-ium chloride--water (1/1/1),DTXCID801402865,6004-24-6,NFCRBQADEGXVDL-UHFFFAOYSA-M,O.[Cl-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,357.2798426
Benzethonium Chloride,C27H42NO2,412.3215546,13.013,,121-54-0,STD,DTXSID6023810,Benzethonium chloride,DTXCID203810,121-54-0,UREZNYTWGJKWBI-UHFFFAOYSA-M,[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1,447.2904073
Methyltrioctylammonium chloride,C25H54N,368.4256257,14.479,16.088,5137-55-3,STD,DTXSID1044487,Methyltrioctylammonium chloride,DTXCID9024487,5137-55-3,XKBGEWXEAPTVCK-UHFFFAOYSA-M,[Cl-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,403.3944784
Tetrapentylammonium chloride,C20H44N,298.3473754,12.233,10.097,4965-17-7,STD,DTXSID00884120,Tetrapentylammonium chloride,DTXCID501023589,4965-17-7,SXAWRMKQZKPHNJ-UHFFFAOYSA-M,[Cl-].CCCCC[N+](CCCCC)(CCCCC)CCCCC,333.3162281
Tetraheptylammonium bromide,C28H60N,410.4725759,14.782,,4368-51-8,STD,DTXSID20884066,Tetraheptylammonium bromide,DTXCID801023538,4368-51-8,YQIVQBMEBZGFBY-UHFFFAOYSA-M,[Br-].CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,489.390914
Dodecylethyldimethylammonium bromide,C16H36N,242.2847752,11.797,,68207-00-1,STD,DTXSID80897379,"N-Ethyl-N,N-dimethyl-N-dodecylammonium bromide",DTXCID001326730,68207-00-1,FFGSPQDSOUPWGY-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCC[N+](C)(C)CC,321.203113
Tributylmethylammonium bromide,C13H30N,200.237825,9.944,,37026-88-3,STD,DTXSID00958198,"N,N-Dibutyl-N-methylbutan-1-aminium bromide",DTXCID301386111,37026-88-3,DHAWHVVWUNNONG-UHFFFAOYSA-M,[Br-].CCCC[N+](C)(CCCC)CCCC,279.156163
S-Butyrylthiocholine iodide,C9H20NOS,190.12656,5.119,,1866-16-6,STD,DTXSID10883765,"Ethanaminium, N,N,N-trimethyl-2-[(1-oxobutyl)thio]-, iodide (1:1)",DTXCID401023255,1866-16-6,WEQAAFZDJROSBF-UHFFFAOYSA-M,[I-].CCCC(=O)SCC[N+](C)(C)C,317.03103
(5-Bromopentyl)trimethylammonium bromide,C8H19BrN,208.0700875,4.771,,15008-33-0,STD,DTXSID40455176,(5-Bromopentyl)trimethylammonium bromide,DTXCID00405995,15008-33-0,GEIHNRASRNQTDE-UHFFFAOYSA-M,[Br-].C[N+](C)(C)CCCCCBr,286.988426
Domiphen bromide,C22H40NO,334.3109899,13.139,,538-71-6,STD,DTXSID5033468,Domiphen bromide,DTXCID3013468,538-71-6,OJIYIVCMRYCWSE-UHFFFAOYSA-M,[Br-].CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,413.229328
Benzyltrimethylammonium bromide,C10H16N,150.1282745,3.79,,5350-41-4,STD,DTXSID40968236,"N,N,N-Trimethyl(phenyl)methanaminium bromide",DTXCID301395821,5350-41-4,UUZYBYIOAZTMGC-UHFFFAOYSA-M,[Br-].C[N+](C)(C)CC1=CC=CC=C1,229.046613
Benzyltriethylammonium bromide,C13H22N,192.1752247,5.123,,5197-95-5,STD,DTXSID20966295,"N-Benzyl-N,N-diethylethanaminium bromide",DTXCID401393935,5197-95-5,CHQVQXZFZHACQQ-UHFFFAOYSA-M,[Br-].CC[N+](CC)(CC)CC1=CC=CC=C1,271.093563
(3-Carboxypropyl)trimethylammonium chloride,C7H16NO2,146.1181038,1.325,0.736,6249-56-5,STD,DTXSID00978073,4-(Trimethylazaniumyl)butanoate--hydrogen chloride (1/1),DTXCID301405402,6249-56-5,GNRKTORAJTTYIW-UHFFFAOYSA-N,Cl.C[N+](C)(C)CCCC([O-])=O,181.0869565
Acetylcholine chloride,C7H16NO2,146.1181038,1.325,,60-31-1,STD,DTXSID5048978,Acetylcholine chloride,DTXCID5028904,60-31-1,JUGOREOARAHOCO-UHFFFAOYSA-M,[Cl-].CC(=O)OCC[N+](C)(C)C,181.0869565
Denatonium benzoate,C21H29N2O,325.2279886,8.655,,3734-33-6,STD,DTXSID8034376,Denatonium benzoate,DTXCID6014376,3734-33-6,VWTINHYPRWEBQY-UHFFFAOYSA-N,[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,446.256943
Tetraethylammonium chloride,C8H20N,130.1595746,1.342,3.379,56-34-8,STD,DTXSID6041137,Tetraethylammonium chloride,DTXCID4021137,56-34-8,YMBCJWGVCUEGHA-UHFFFAOYSA-M,[Cl-].CC[N+](CC)(CC)CC,165.1284273
Diallyldimethylammonium chloride,C8H16N,126.1282745,1.366,,7398-69-8,STD,DTXSID4027650,Diallyldimethylammonium chloride,DTXCID407650,7398-69-8,GQOKIYDTHHZSCJ-UHFFFAOYSA-M,[Cl-].C[N+](C)(CC=C)CC=C,161.0971272
Tetraoctylammonium bromide,C32H68N,466.5351762,15.52,,14866-33-2,STD,DTXSID7034042,Tetra-N-octylammonium bromide,DTXCID5014042,14866-33-2,QBVXKDJEZKEASM-UHFFFAOYSA-M,[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,545.453514
Tetrakis(decyl)ammonium bromide,C40H84N,578.6603767,16.794,,14937-42-9,STD,DTXSID90933631,"N,N,N-Tris(decyl)decan-1-aminium bromide",DTXCID401362289,14937-42-9,AHNISXOXSNAHBZ-UHFFFAOYSA-M,[Br-].CCCCCCCCCC[N+](CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC,657.578715
Tridodecylmethylammonium chloride,C37H78N,536.6314,16.895,,7173-54-8,STD,DTXSID80884360,"1-Dodecanaminium, N,N-didodecyl-N-methyl-, chloride (1:1)",DTXCID401023805,7173-54-8,SBHRWOBHKASWGU-UHFFFAOYSA-M,[Cl-].CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC,571.5822792
(2-Bromoethyl)trimethylammonium bromide,C5H13BrN,166.0231373,1.342,,7/6/2578,STD,DTXSID10883725,"Ethanaminium, 2-bromo-N,N,N-trimethyl-, bromide (1:1)",DTXCID801023221,7/6/2578,OINMNSFDYTYXEQ-UHFFFAOYSA-M,[Br-].C[N+](C)(C)CCBr,244.941475
Girard??s reagent T,C5H14N3O,132.1136871,1.283,,123-46-6,STD,DTXSID00883315,Betaine Hydrazide Hydrochloride,DTXCID601022853,123-46-6,YSULOORXQBDPCU-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)CC(=O)NN,167.0825398
difenzoquat,C17H17N2,249.1391736,7.823,,49866-87-7,STD,DTXSID6043965,Difenzoquat,DTXCID4023965,49866-87-7,LBGPXIPGGRQBJW-UHFFFAOYSA-N,CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1,249.138625
Tetramethylammonium bromide,C4H12N,74.09697439,1.258,,64-20-0,STD,DTXSID80883212,Tetramethylammonium bromide,DTXCID301022761,64-20-0,DDFYFBUWEBINLX-UHFFFAOYSA-M,[Br-].C[N+](C)(C)C,153.015312
Glycidyltrimethylammonium chloride,C6H14NO,116.1075391,1.366,,3033-77-0,STD,DTXSID1044643,Glycidyl trimethylammonium chloride,DTXCID9024643,3033-77-0,PUVAFTRIIUSGLK-UHFFFAOYNA-M,[Cl-].C[N+](C)(C)CC1CO1,151.0763918
Choline chloride,C5H14NO,104.1075391,1.258,1.426,67-48-1,STD,DTXSID4020325,"2-Hydroxy-N,N,N-trimethylethan-1-aminium chloride",DTXCID20325,67-48-1,SGMZJAMFUVOLNK-UHFFFAOYSA-M,[Cl-].C[N+](C)(C)CCO,139.0763918
(3-Bromopropyl)trimethylammonium bromide,C6H15BrN,180.0387874,1.365,,3779-42-8,STD,DTXSID20958832,"3-Bromo-N,N,N-trimethylpropan-1-aminium bromide",DTXCID701386725,3779-42-8,NNZGNZHUGJAKKT-UHFFFAOYSA-M,[Br-].C[N+](C)(C)CCCBr,258.957125
Benzyltributylammonium chloride,C19H34N,276.2691251,10.442,,23616-79-7,STD,DTXSID00885238,Benzyl trialkyl ammonium compound C4:C4:C4 (BTAAC C4:C4:C4),DTXCID801024631,23616-79-7,VJGNLOIQCWLBJR-UHFFFAOYSA-M,[Cl-].CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1,311.2379778
Tetrapropylammonium bromide,C12H28N,186.2221749,6,,1941-30-6,STD,DTXSID9026130,Tetrapropylammonium bromide,DTXCID706130,1941-30-6,BGQMOFGZRJUORO-UHFFFAOYSA-M,[Br-].CCC[N+](CCC)(CCC)CCC,265.140513
